Autonomous Community,A,B,C,D,E,F,G,TOTAL
Andalusia,11.068,21.724,44.156,101.273,435.599,63.430,109.977,787.227
Aragon,1.900,2.082,6.429,17.930,85.363,16.813,22.314,152.831
Asturias,1.670,1.353,4.222,11.503,56.456,14.785,31.055,121.044
Balearic Islands,1.872,4.427,9.437,18.176,75.891,20.359,48.975,179.137
Canary Islands,941,1.476,2.813,6.801,24.834,8.589,88.708,134.162
Cantabria,625,713,2.330,6.792,43.560,10.466,16.697,81.183
Castile-La Mancha,1.932,1.712,2.789,5.886,19.445,4.586,4.475,40.825
Castile and Leon,5.281,3.390,7.983,21.641,96.045,21.108,20.481,175.929
Catalonia,13.208,20.344,51.557,112.972,620.878,156.245,245.425,1.220.629
Ceuta,0,1,1,1,1,0,0,4
Autonomous Community,5.100,11.701,24.074,60.282,353.913,62.838,104.979,622.887
Extremadura,1.714,1.264,2.560,6.019,29.693,6.183,5.922,53.355
Galicia,5.297,4.088,7.932,17.344,81.776,22.000,33.866,172.303
La Rioja,524,429,1.837,5.382,23.670,4.452,4.278,40.572
Madrid,20.253,20.088,47.181,142.631,576.478,97.376,144.190,1.048.197
Murcia,937,1.632,3.113,6.942,39.768,7.754,12.192,72.338
Navarre,2.849,1.081,2.921,7.699,32.630,6.735,5.688,59.603
Basque Country,3.305,1.573,1.359,14.166,114.119,37.459,75.067,247.048
TOTALS,78.476,99.078,222.694,563.440,2.710.119,561.178,974.289,5.209.274
