Autonomous Community,A,B,C,D,E,F,G,TOTAL
Andalusia,8.997,13.978,24.294,83.805,401.902,55.197,97.694,685.867
Aragon,1.509,1.305,3.268,13.691,80.643,14.590,20.384,135.390
Asturias,1.359,791,1.756,7.594,49.241,11.352,23.786,95.879
Balearic Islands,1.244,2.642,4.850,14.068,69.116,17.784,44.377,154.081
Canary Islands,938,1.474,2.806,6.799,24.829,8.586,88.699,134.131
Cantabria,514,439,1.328,5.255,38.827,8.543,13.568,68.474
Castile-La Mancha,1.784,1.561,2.265,5.108,17.996,4.009,3.397,36.120
Castile and Leon,4.671,2.666,5.744,17.536,89.306,17.828,18.049,155.800
Catalonia,10.495,12.173,19.674,78.428,586.893,139.548,231.918,1.079.129
Ceuta,0,0,1,0,0,0,0,1
Autonomous Community,4.183,8.399,12.759,49.654,342.764,57.882,101.162,576.803
Extremadura,1.572,923,1.336,4.563,28.288,5.623,5.430,47.735
Galicia,4.470,2.845,4.063,11.651,71.877,17.949,28.001,140.856
La Rioja,349,276,1.075,3.980,21.207,3.573,3.524,33.984
Madrid,17.317,13.960,25.623,110.045,514.403,77.048,120.048,878.444
Murcia,790,1.176,1.738,5.706,37.550,7.083,11.154,65.197
Navarre,1.898,673,1.520,5.110,24.414,4.382,3.790,41.787
Basque Country,2.422,1.134,936,10.861,107.422,33.760,71.239,227.774
TOTALS,64.512,66.415,115.035,433.855,,484.737,886.220,4.557.452
%,1.4%,1.5%,2.5%,9.5%,55.0%,10.6%,19.4%,
