Autonomous Community,A,B,C,D,E,F,G,TOTAL
Andalusia,12.153,18.177,38.226,140.152,422.768,31.195,23.196,685.867
Aragon,1.729,1.565,4.357,17.755,81.698,14.548,13.738,135.390
Asturias,1.669,858,2.180,9.327,50.534,13.319,17.996,95.883
Balearic Islands,1.220,2.791,5.613,16.654,73.819,17.260,35.079,152.436
Canary Islands,1.994,1.671,3.352,8.729,30.297,11.419,76.669,134.131
Cantabria,601,527,1.522,6.527,42.420,9.722,7.155,68.474
Castile-La Mancha,2.182,1.761,2.431,6.214,17.547,3.479,2.506,36.120
Castile and Leon,5.054,2.784,6.437,19.807,89.798,16.905,15.015,155.800
Catalonia,13.772,13.284,27.644,114.446,649.030,133.930,127.023,1.079.129
Ceuta,0,0,1,0,0,0,0,1
Autonomous Community,6.496,9.475,21.105,89.792,391.778,35.448,22.709,576.803
Extremadura,2.173,1.876,2.099,6.865,30.113,4.182,3.792,51.100
Galicia,5.400,2.766,4.463,14.564,79.883,19.703,14.077,140.856
La Rioja,397,365,1.279,4.906,20.955,3.371,2.711,33.984
Madrid,20.526,15.246,34.688,146.556,513.984,83.131,74.863,888.994
Murcia,1.129,1.368,2.553,10.535,42.793,4.395,2.424,65.197
Navarre,2.049,638,1.750,6.016,23.887,4.365,3.082,41.787
Basque Country,2.739,1.106,1.495,14.386,129.306,42.929,35.800,227.761
TOTALS,81.283,76.258,161.194,633.232,2.690.610,449.301,477.835,4.569.713
%,1.8%,1.7%,3.5%,13.9%,58.9%,9.8%,10.5%,
