Building status,Bad,Regular,Normal,Good,Very good,Excellent,TOTAL
Andalusia,130.920,514.124,621.398,963.578,569.785,478.505,3.278.309
Aragon,13.368,77.901,107.289,172.861,90.297,76.060,537.777
Asturias Principality of,15.433,77.429,94.572,140.990,69.965,56.060,454.449
Balears Illes,15.084,73.724,95.556,132.551,82.312,63.118,462.345
Canary Islands,36.390,156.927,182.930,248.844,121.135,117.559,863.785
Cantabria,6.745,41.860,51.008,76.296,38.263,30.146,244.317
Castile and Leon,28.859,170.035,203.250,309.326,165.866,145.442,1.022.778
Castile-La Mancha,24.796,113.237,155.747,240.563,133.107,125.989,793.438
Catalonia,104.394,519.726,694.979,953.731,476.584,291.699,3.041.112
Autonomous Community,73.992,340.802,432.231,630.753,335.159,230.558,2.043.494
Extremadura,10.861,65.727,74.755,129.016,77.690,75.783,433.832
Galicia,37.341,206.619,238.528,331.822,156.714,129.453,1.100.477
Madrid Community of,75.471,445.875,588.502,834.916,432.224,249.121,2.626.108
Murcia Region of,20.124,91.336,108.664,167.403,102.300,65.240,555.067
Navarre,5.676,32.095,51.098,83.961,49.513,36.712,259.054
Basque Country,21.180,131.535,211.873,304.506,143.879,95.822,908.795
Rioja La,3.315,18.406,24.724,42.340,23.025,19.456,131.266
Ceuta,2.392,6.379,5.759,7.915,2.881,1.744,27.070
Melilla,2.609,6.128,5.576,6.635,3.154,2.472,26.573
TOTALS,3.089.865,3.948.440,5.778.004,5.778.004,3.073.852,2.290.935,18.810.046
%,3.34%,16.43%,20.99%,30.72%,16.34%,12.18%,
