Autonomous Community,A,B,C,D,E,F,G,TOTAL
Andalusia,2.071,7.746,19.862,17.468,33.697,8.233,12.283,101.360
Aragon,,,,,,,,
Asturias,,,,,,,,
Balearic Islands,,,,,,,,
Canary Islands,3,2,7,2,5,3,9,31
Cantabria,,,,,,,,
Castile-La Mancha,,,,,,,,
Castile and Leon,,,,,,,,
Catalonia,2.713,8.171,31.883,34.544,33.985,16.697,13.507,141.500
Ceuta,,1,1,0,1,,,3
Autonomous Community of Valencia,,,,,,,,
Extremadura,,,,,,,,
Galicia,,,,,,,,
La Rioja,,,,,,,,
Madrid,2.936,6.128,21.558,32.586,62.075,20.328,24.142,169.753
Murcia,,,,,,,,
Navarre,,,,,,,,
Basque Country,,,,,,,,
