Autonomous Community,A,B,C,D,E,F,G,TOTAL
Andalusia,2.071,7.746,19.862,17.468,33.697,8.233,12.283,101.360
Aragon,391,777,3.161,4.239,4.720,2.223,1.930,17.441
Asturias,311,562,2.466,3.909,7.215,3.433,7.269,25.165
Balearic Islands,628,1.785,4.587,4.108,6.775,2.575,4.598,25.056
Canary Islands,3,2,7,2,5,3,9,31
Cantabria,111,274,1.002,1.537,4.733,1.923,3.129,12.709
Castile-La Mancha,148,151,524,778,1.449,577,1.078,4.705
Castile and Leon,610,724,2.239,4.105,6.739,3.280,2.432,20.129
Catalonia,2.713,8.171,31.883,34.544,33.985,16.697,13.507,141.500
Ceuta,1,1,0,1,0,0,0,3
Autonomous Community of Valencia,917,3.302,11.315,10.628,11.149,4.956,3.817,46.084
Extremadura,142,341,1.224,1.456,1.405,560,492,5.620
Galicia,827,1.243,3.869,5.693,9.899,4.051,5.865,31.447
La Rioja,175,153,762,1.402,2.463,879,754,6.588
Madrid,2.936,6.128,21.558,32.586,62.075,20.328,24.142,169.753
Murcia,147,456,1.375,1.236,2.218,671,1.038,7.141
Navarre,951,408,1.401,2.589,8.216,2.353,1.898,17.816
Basque Country,883,439,423,3.305,6.697,3.699,3.828,19.274
TOTALS,13.964,32.663,107.659,129.585,203.441,76.441,88.069,651.822
%,2.1%,5.0%,16.5%,19.9%,31.2%,11.7%,13.5%,
