Autonomous Community,A,B,C,D,E,F,G,TOTAL
Andalusia,2.710,9.262,22.417,21.571,35.160,5.859,4.385,101.364
Aragon,514,871,4.258,4.549,4.369,1.649,1.233,17.443
Asturias,350,540,2.716,4.432,8.203,4.343,4.582,25.166
Balearic Islands,508,1.320,2.950,2.359,4.988,1.878,3.176,17.179
Canary Islands,3,3,7,1,7,1,9,31
Cantabria,147,286,1.145,1.898,5.555,2.141,1.537,12.709
Castile-La Mancha,177,212,709,799,1.512,693,603,4.705
Castile and Leon,752,810,3.192,5.177,6.592,2.184,1.423,20.130
Catalonia,4.023,8.639,38.684,37.605,31.543,12.047,8.954,141.495
Ceuta,,1,1,0,1,,,3
Autonomous Community of Valencia,1.199,3.929,13.208,11.950,11.013,3.058,1.722,46.079
Extremadura,274,535,1.445,1.528,1.620,478,339,6.219
Galicia,1.031,1.300,4.763,6.897,10.911,3.833,2.713,31.448
La Rioja,212,156,1.077,1.704,2.331,614,492,6.586
Madrid,3.799,6.809,28.251,36.842,63.188,19.304,12.879,171.072
Murcia,188,531,1.453,1.495,2.550,549,374,7.140
Navarre,1.059,392,1.953,3.161,8.155,1.948,1.149,17.817
Basque Country,1.029,397,1.032,5.269,7.198,2.790,1.559,19.274
TOTALS,17.975,35.993,129.261,147.237,204.896,63.369,47.129,645.860
%,2.8%,5.6%,20.0%,22.8%,31.7%,9.8%,7.3%,
