section,section_topic,measure_number,measure_name,content,amending_legislation,lead_institution,participating_institutions,sources_of_funding,time_limit
b,National minimum energy performance standards (MEPS),1,Introduction of national minimum energy performance standards (MEPS),"Legislative introduction of mandatory minimum energy classes for the least performing segment of the non-residential building stock (class E by 2030; class D by 2033), including powers to update thresholds","Energy Efficiency Act (EEOS) – new/amended provisions for CEFs and deadlines",ME,"AUER, MRDPW",State budget,2026
b,National minimum energy performance standards (MEPS),2,Legal setting of limit values and methodology for CEFs,"Legal setting of primary energy consumption limits per type of non-residential building, according to existing regulations","Regulation No RD-02-20-3 of 9.11.2022 – addition with an explicit link to CEFR",MRDPW,"AUER, ME",State budget,2026
b,National minimum energy performance standards (MEPS),3,Introduction of a simplified energy labelling system,"Establish a simplified procedure to pre-define the energy class of non-residential buildings based on a limited set of input data in order to identify buildings below CEFR","EEOS – legal basis for an energy label; Regulation No E-RD-04-2 of 16.12.2022 – new section on simplified labelling",SEDA,"MRRB, MRRB","Life and Competitiveness and Innovation in Enterprises projects",2026-2027
b,National minimum energy performance standards (MEPS),4,Digitalisation of registers and data integration,"Extension of the national energy performance register with energy labels; automated data exchange with cadastre and municipal registers","Regulation No E-RD-04-1 of 3.1.2018 – supplementing the registers under the Energy Efficiency Act",SEDA,"AKGK, municipalities","EU funds; State budget",2026-2028
b,National minimum energy performance standards (MEPS),5,Mandatory labelling/certification of non-residential buildings,Making it mandatory for all non-residential buildings to have a valid energy certificate or a registered energy label,"EEOS – extension of scope and time limit obligations",ME,"AUER, municipalities","Private funds; public support for labelling",Until 2029
b,National minimum energy performance standards (MEPS),6,Linking CEFs to major renovation and public funding,"Requirement for demonstrated compliance with CEFs for major renovations and as a condition for access to public funding","EEOSS; OSH – references in the case of overhaul; Regulation No E-RD-04-2/2022",MRRB/MRRB,"SEDA, funding bodies",State budget,2026-2027
b,National minimum energy performance standards (MEPS),7,Controls instructions and penalties for non-compliance,"Introduction of a phased mechanism: prescription → restriction of access to public programmes → financial penalty","EEOS – penal and administrative provisions for CEFs; Regulation to the Energy Efficiency Act",SEDA,"ME, municipalities",State budget,2026
b,National minimum energy performance standards (MEPS),8,Integration of CEFs with financial instruments,"Linking CEFH commitments to targeted financial products and combined funding","EEOSS; rules of the National Decarbonisation Fund and other funding programmes","Programme managing authorities, NFCs","ME, AUER, FMFIB",In the framework of the activities,From 2026
b,National minimum energy performance standards (MEPS),9,Technical assistance and renovation roadmaps,Provision of labelling surveys and roadmaps through CCA as part of CEFR implementation,"EEOSS; Regulation No E-RD-04-2/2022 – roadmaps as a result of an audit","Programme managing authorities, NFCs","AUER, municipalities",Within programme activities,2026-2030
b,National minimum energy performance standards (MEPS),10,Monitoring and annual reporting on compliance,"Annual report on coverage, compliance and achieved energy and emission effects","EEOS – reporting obligation; Regulation No E-RD-04-1/2018",SEDA,ME,State budget,From 2027 onwards every year
c,Deep and staged deep building renovation,1,National building renovation passport scheme,"Introduction of a building renovation passport as an official document with regulatory content, application cases (one-off/staged deep renovation) and link to the certification system","Energy Efficiency Act (EEOS) – explicit legal basis and delegation; Regulation to the Energy Efficiency Act on content and procedure",ME,"AUER, MRDPW",State budget,by May 2026
