measure_id,measure_name,measure_status,category,implementing_body,comment,section,annex1_implementing_body,annex1_period,savings_ktoe_double_counting,savings_ktoe_no_double_counting,pct_objective_dc,pct_objective_ndc
CY_001,Minimum energy performance requirements for existing buildings.,In force,Regulatory,Energy Agency,See page 31.,Annex I,,,,,,
CY_002,Energy Performance Certificates.,In force,Regulatory,Energy Agency,See page 33.,Annex I,,,,,,
CY_003,Inspection of heating systems and air conditioning systems.,In force,Regulatory,Energy Agency,See page a 34.,Annex I,,,,,,
CY_004,Energy saving officers (ESOs) in public buildings.,In force,Regulatory,Energy Agency,See page a 95.,Annex I,,,,,,
CY_005,Requirements for technical systems in existing buildings.,In force,Regulatory,Energy Agency,See page 36.,Annex I,,,,,,
CY_006,Energy Audits and Energy Performance Contracts.,In force,Regulatory,Energy Agency,See page 37.,Annex I,,,,,,
CY_007,Anti-seismic upgrading of buildings.,In force,Regulatory,Energy Agency,See page 40.,Annex I,,,,,,
CY_008,Buildings of a special character.,In force,Regulatory,Energy Agency,See page 40.,Annex I,,,,,,
CY_009,Reduced VAT rate for residential renovations.,In force,"Regulatory, Financial",Department of Taxation,See page a 55.,Annex I,,,,,,
CY_010,Smart readiness indicator for buildings.,Implemented,Digitalisation,Energy Agency,See page 105.,Annex I,,,,,,
CY_011,Regulatory framework for the establishment of ‘energy communities’ and ‘renewable energy communities’,In force,Regulatory,"Energy Agency, CERA",For more details see page a 107.,Annex I,,,,,,
CY_012,Energy Efficiency Obligation Scheme (EEOS).,In force,"Regulatory, Financial",Energy Agency,The measure is expected to start applying in 2023. For more details see page 39.,Annex I,"Ministry of Energy, Commerce and Industry",2023 – 2030,"100,01","100,01","28,65%","28,65%"
CY_013,Additional building factor for new and renovated buildings (Order 4 of 2025).,In force,"Regulatory, Financial","Energy Service, Department of Town Planning and Housing",The measure was renewed until 2029. For more details see page a 55.,Annex I,Ministry of the Interior (Department of Town Planning and Housing),2014 – 2024,"6,26","6,26","1,79%","1,79%"
CY_014,Action Plan for the energy upgrading of buildings owned and used by the central government.,In force,Building upgrades,Department of Public Works,See page a 92.,Annex I,,,,,,
CY_015,"Implementation of information measures (information campaigns, trainings, workshops, etc.).",In force,Information,Energy Agency,See page 58.,Annex I,"Services Ministry of Energy, Commerce and Industry",2021 – 2030,"2,78","0,00","0,80%","0,00%"
CY_016,"Project Sponsorship ""Saving - Upgrading in Residences""",In force,"Sponsorship Plan, Building Upgrades",Industry and Technology Service,They are reviewed and expanded according to their effectiveness. For more details see page a 50.,Annex I,"Ministry of Energy, Commerce and Industry",2021 – 2027,"75,52","75,52","21,64%","21,64%"
CY_017,"Sponsorship Plan ""Save - Upgrade to Businesses and other Organizations""",,,,,Annex I,"Ministry of Energy, Commerce and Industry",2023 – 2026,"40,00","40,00","11,46%","11,46%"
CY_018,"Grant Schemes of the RES and RES Fund to promote energy efficiency investments in the domestic, tertiary and public sectors.",In force,"Sponsorship Plan, Building Upgrades",Energy Agency,It is reviewed and expanded according to its effectiveness. For more details see page 46 and 101.,Annex I,Management Committee of the RES and RES Fund,2021 – 2026,"23,95","23,95","6,86%","6,86%"
CY_019,"Project Grant ""Encouraging the reduction of greenhouse gas emissions in enterprises""",In force,"Sponsorship Plan, Building Upgrades",Department of Environment,The measure was launched in February 2024 and will be completed in December 2024. For more details see page a 55.,Annex I,Department of Environment,2023 – 2030,"31,33","31,33","8,98%","8,98%"
CY_020,Individual energy efficiency interventions and energy upgrades in buildings of the wider public sector.,In force,Building upgrades,"Organizations of the wider public sector (Schools, Hospitals, Local Authorities)","Investments in the public sector will be different from those that will be implemented under Measure 15 ""Action Plan for the energy upgrading of buildings owned and used by the central government"". For more details see page 98.",Annex I,Department of Public Administration Projects and Department Electromechanical,2021 – 2030,"14,95","14,95","4,28%","4,28%"
CY_021,Plan for RES electricity generation for own consumption,In force,Regulatory,Energy Agency.,See page a 53,Annex I,,,,,,
CY_022,"Regional Cooperation Programme INTERREG V-A Greece – Cyprus 2014-2020. A) Energy upgrade of the Presidential Palace. B) Project ""STRATENERGY""",In force,Buildings Upgrades,Directorate-General for Development,,Annex I,"Ministry of Energy, Commerce and Industry",2018 – 2023,"0,75","0,75","0,22%","0,22%"
CY_023,Electric vehicle recharging stations in buildings.,In force,"Regulatory, Sponsorship Plan","Energy Service, Department of Electrical and Mechanical Services",See page 41.,Annex I,,,,,,
CY_024,Amendment of the Law on the Regulation of Roads and Buildings for the installation of photovoltaic systems,In force,Regulatory,Energy Agency,See page 41.,Annex I,,,,,,
CY_025,Creation of new software to simulate the new one (EMSD).,Implemented,Digitalisation,Energy Agency,The software is expected to be completed in 2025. The new NDICI also includes the assessment of the smart readiness indicator for buildings. For more details see page 33.,Annex I,,,,,,
CY_026,Important new measures from the recast Energy Efficiency Directives (2023/1791/EU) and Energy Performance of Buildings Directives (2024/1275/EU),Under study,"Regulatory, Building Upgrades",Energy Agency,For more details see page a 59.,Annex I,,,,,,
CY_027,Development of a new online platform digital one stop shop (doss) for RES projects and building renovation,Implemented,Digitalisation,Energy Agency,For more details see page a 79.,Annex I,,,,,,
CY_028,Advanced smart metering system infrastructure project.,Implemented,Digitisation.,Cyprus Energy Regulatory Authority & Distribution System Operator,The measure is expected to be completed in 2026. For more details see page a 80.,Annex I,Cyprus Energy Regulatory Authority & Distribution System Operator,2021 – 2030,"10,32","0,00","2,96%","0,00%"
CY_029,Tax bill for increased capital discounts for energy upgrading of businesses.,In force,"Regulatory, Financial",Department of Taxation,See page 81.,Annex I,,,,,,
CY_030,Cyprus Business Development Organization.,Under study,"Regulatory, Financial",Energy Agency,It is expected to be operational in 2027. For more details see page a 81.,Annex I,,,,,,
CY_031,"""Building"" project - Reconstruction and refugee block s of flats",,"Sponsorship Plan, Building Upgrades","Directorate for Policy, European issues, Housing Policy and Human Resources of the HHS.",See page 83.,Annex I,,,,,,
CY_032,‘Renovate – Rent’ project,Under study,,,See page 83.,Annex I,,,,,,
CY_033,Emissions Trading System in Buildings,Under study,Regulatory,Department of Environment,It is expected to be operational in 2028. For more details see page a 84.,Annex I,,,,,,
CY_034,Energy upgrading of hospitals and/or hospital units and construction of new energy efficient hospitals and/or hospital units,,,State Health Services Agency,,Annex 1,State Health Services Agency,2021 – 2026,"1,12","1,12","0,32%","0,32%"
CY_035,Individual energy efficiency interventions and energy upgrades in buildings of the wider public sector.,,,"Organisations of the wider public sector (Municipalities, Communities, etc.)",,Annex 1,"Organisations of the wider public sector (Municipalities, Communities, etc.)",2021 – 2026,"1,30","1,30","0,37%","0,37%"
CY_036,Energy efficient road lighting.,,,"Ministry of Interior, EAC Municipalities/Communitie s, Electromechanical Services",,Annex 1,"Ministry of Interior, EAC Municipalities/Communitie s, Electromechanical Services",2018 – 2024,"9,91","9,91","2,84%","2,84%"
CY_037,Energy saving measures in the road transport sector.,,,"Ministry of Transport, Communications and Works.",,Annex 1,"Ministry of Transport, Communications and Works.",2021 – 2030,"29,75","0,00","8,52%","0,00%"
CY_038,Energy efficiency in the water sector.,,,Water Development Department,,Annex 1,Water Development Department,2021 – 2030,"0,80","0,80","0,23%","0,23%"
CY_039,Energy consumption charge applied to electricity,,,Management Committee of the RES and RES Fund,,Annex 1,Management Committee of the RES and RES Fund,2021 – 2030,"19,17","7,01","5,49%","2,01%"
CY_040,Excise duty on road transport fuels exceeding the minimum levels required by Directive 2003/96/EC.,,,Ministry of Finance,,Annex 1,Ministry of Finance,2014 – 2030,"82,37","82,37","23,60%","23,60%"
