measure_id,measure_name,epbd_section,description
DK_001,Article 9(1) – MEPS,"b) national minimum energy performance standards pursuant to Article 9 and other policies and actions to target the worst-performing segments of the national building stock, including safeguards as referred to in Article 17(19)","As described in the introduction as well as in Section b and c, Denmark has various political agree- ments, legislation and policy measures which support energy savings and energy renovations in buildings. In regards to the implementation of Article 9(1), it is especially the Building Code, the business scheme (Erhvervspuljen), the EPC scheme, the VEB, Sparenergi.dk and the Danish one-stop shop which support the enabling of MEPS in Denmark as described below and above in various para- graphs in Section c. It is highlighted that the following description of the legal framework, rules of compliance, the enabling framework, monitoring mechanism and penalty scheme concerning MEPS in Denmark are still under development. The draft NBRP may be subject to amendments, including elements regarding MEPS, as the implementation of the EPBD into Danish law has not yet been presented to and approved by the Danish Parliament. Accordingly, changes that may occur prior to the final adoption of the law will be reflected in the final NBRP. For more information, see the draft legislation “Lov om ændring af lov om fremme af energibe- sparelser i bygninger og forskellige andre love. (Indførelse af minimumsstandarder for energimæs- sig ydeevne, ændringer af energimærkningsordning, ordning for renoveringspas m.v.)”. The DEA has been delegated the competent authority to carry out tasks to ensure the compliance with MEPS in Denmark. The draft legislation “Lov om ændring af lov om fremme af energibesparelser i bygninger og for- skellige andre love. (Indførelse af minimumsstandarder for energimæssig ydeevne, ændringer af energimærkningsordning, ordning for renoveringspas m.v.)” states that the owner of a non-resi- dential building must ensure that the individual building meets the applicable MEPS expressed as a minimum threshold value measured in kWh/m pr. year. The maximum threshold value and the deadlines for when it must be met will be set in an executive order that will enter into force sim- ultaneously with the law. The deadlines and the threshold will follow the rules in the Directive. This means that requirements will be set according to which the non-residential building must live up to the MEPS threshold by no later than 1 January 2030, 1 January 2033, 1 January 2040 and 1 January 2050. The two thresholds for 2040 and 2050 are, as of now, not binding thresholds, seeing as circumstances may change over the course of the next 25 years. For more information, see the draft legislation “Lov om ændring af lov om fremme af energibesparelser i bygninger og forskel- lige andre love. (Indførelse af minimumsstandarder for energimæssig ydeevne, ændringer af ener- gimærkningsordning, ordning for renoveringspas m.v.)”. In the draft legislation, “Lov om ændring af lov om fremme af energibesparelser i bygninger og forskellige andre love. (Indførelse af minimumsstandarder for energimæssig ydeevne, ændringer af energimærkningsordning, ordning for renoveringspas m.v.)”, it is stated that the EPC will serve as identification and documentation of whether a building complies with the MEPS threshold. It is thus also data from the EPC database as well as the BBR which Denmark uses to identify the buildings that could be at risk of not complying with the MEPS thresholds. For more on this, see the description on qualitative elements in Section a “Overview of the building stock”. In order to check the building’s compliance with the MEPS thresholds, the individual building owner can have an EPC made or engage with an energy consultant or other type of technical ad- visor. Similarly, in order to check the compliance of a building, the DEA will request a valid EPC from the building owner. Denmark considers the EPC to be the most transparent information avail- able on the building’s energy performance. Furthermore, the EPC scheme and the use of EPC data is well known to both building owners, public authorities and professional actors in the energy and building sector. This is also one of the reasons why Denmark has chosen to conduct compliance assessments based on this scheme. The DEA will further provide information for building owners via the Agency’s relevant website, stakeholder meetings and as part of the public hearing of relevant legislation. It is expected that the information on the DEA’s relevant website will contain e.g. various cases, illustrating different types of buildings and energy saving and energy renovation measures. This however is still in development and can be further described in the final NBRP. Furthermore, EPCs carried out from 29 May 2026 and onwards will include information on the building’s energy performance, stated in kWh/m , which will also provide the building owner relevant information on how to ensure compliance with the MEPS demands. Denmark expects to carry out risk-based compliance checks after the deadline of compliance of the MEPS thresholds, i.e. after 1 January 2030, 1 January 2033 etc., as well as doing annual stock take of the development of the energy consumption in buildings via the DEA’s annual Energy 69 70 Production and Consumption Statistics , the Danish Climate Status and Outlook and the EPC database . If the DEA assesses that a valid EPC shows non-compliance with the MEPS thresholds, the DEA can issue an injunction with a deadline for compliance. If this injunction is not complied with, the DEA can file a police report and eventually end up with the relevant court issuing a penalty. In the draft legislation “Lov om ændring af lov om fremme af energibesparelser i bygninger og forskel- lige andre love. (Indførelse af minimumsstandarder for energimæssig ydeevne, ændringer af ener- gimærkningsordning, ordning for renoveringspas m.v.)” the possibility of issuing penalties, which take into account the financial situation and access to adequate financial support of homeowners, in particular for vulnerable households in accordance with Article 9 (7) and Article 34 of the EPBD, is stated."
DK_002,Article 9(2) – National trajectory for the progressive renovation of the residential building stock,"b) national minimum energy performance standards pursuant to Article 9 and other policies and actions to target the worst-performing segments of the national building stock, including safeguards as referred to in Article 17(19)","Denmark has set the targets and indicators for the national trajectory for the progressive renovation of the residential building as described in Section b “Roadmap for 2030, 2040 and 2050”. To enable the achievement of the trajectory, Denmark relies on the various political agreements, legislation and policy measures, which support energy savings and energy renovations in build- ings, as described in the introduction as well as in Section c. In regards to the implementation of Article 9(2), it is especially the Building Code, the various subsidy scheme, targeted renovation and decarbonisation of residential buildings, the VEB, Sparenergi.dk and the Danish one-stop shop, which support the enabling of the trajectory in Den- mark, as described in Section c. In addition, the EPC scheme is expected to continue to play a role in making the energy performance of buildings visible. Furthermore, the introduction of a volun- tary scheme for a Renovation Passport (in continuation of the EPC) may have an impact on the implementation of renovations. The DEA will conduct an annual stock take of the development of the energy consumption in buildings via the DEA’s annual Energy Production and Consumption Statistics , the Danish Cli- 73 74 mate Status and Outlook and the EPC database . https://ens.dk/analyser-og-statistik/maanedlig-og-aarlig-energistatistik https://www.kefm.dk/klima/klimastatus-og-fremskrivning https://emoweb.dk/emodata/test/ https://ens.dk/analyser-og-statistik/maanedlig-og-aarlig-energistatistik https://www.kefm.dk/klima/klimastatus-og-fremskrivning 74 https://emoweb.dk/emodata/test/"
DK_003,Subsidy Schemes,"c) the promotion of deep renovation of buildings, including staged deep renovation",Denmark promotes a range of subsidy schemes with the aim of providing economic incentives for e.g. deep renovations.
DK_004,The Energy Renovation Scheme (Energirenoveringspuljen),"c) the promotion of deep renovation of buildings, including staged deep renovation","Through the Energy Renovation Scheme, owners of buildings intended for year-round personal use can apply for funding with the aim of improving the energy efficiency of the building. Funds can be granted for certain insulations of the building, installing energy efficient windows or in- stalling energy-saving ventilation. The scheme is directed towards the lowest EPCs (D-G). Approximately 39 mEUR has been allocated for this scheme from 2023 to 2026. Further information about the Energy Renovation Scheme can be found here ."
DK_005,The Heat Pump scheme (Varmepumpepuljen),"c) the promotion of deep renovation of buildings, including staged deep renovation","Owners of buildings intended for year-round personal use can apply for funding to replace either oil-, gas- or pellet boilers or electrical heating with an electrical heat pump. Applicants may only receive funding if the building in question is located outside of an area designated or planned to be designated for district heating. Approximately 102.5 mEUR has been allocated for this scheme from 2023 to 2026. Further information about the Heat Pump Pool can be found here . https://sparenergi.dk/privat/soeg-tilskud/varm-op-til-soege-tilskud-til-energirenovering/har-du-spoergsmaal and in the regulatory framework: https://www.retsinformation.dk/eli/lta/2025/143 https://sparenergi.dk/privat/soeg-tilskud/varm-op-til-soege-tilskud-til-en-varmepumpe/faq-varmepumpepulje and in the regulatory framework: https://www.retsinformation.dk/eli/lta/2025/805"
DK_006,The District Heating scheme (Fjernvarmepuljen),"c) the promotion of deep renovation of buildings, including staged deep renovation","This scheme provides funding for expanding district heating into new areas and converting oil- and gas boilers to energy efficient district heating. District heating companies are responsible for applying for the funds, which must be used to lower the overall costs for the customers, that will be connected to the new district heating grid. Approximately 252 mEUR has been allocated for this scheme from 2021 to 2025. Further information about the District Heating Scheme can be found here ."
DK_007,The Scrapping Scheme (Skrotningsordningen),"c) the promotion of deep renovation of buildings, including staged deep renovation","This scheme allows eligible private companies to offer subsidised electrical heat pumps on a sub- scription basis. The customer must convert from either an oil-, gas- or pellet boiler. The funding is primarily used to lower the initial costs of conversion for the customer. The scheme aims at providing an extra option to convert to heat pumps for private citizens, who are either not capable of covering the initial cost of purchase for a heat pump or would rather have a heat pump on subscription, where installation and service for the heat pump is included. Approximately 23.5 mEUR has been allocated to this scheme from 2020 to 2026. Further information about the Scrapping Scheme can be found here ."
DK_008,The Business Scheme (Erhvervspuljen),"c) the promotion of deep renovation of buildings, including staged deep renovation","The Business Scheme provides funding for projects that help private businesses save energy or reduce their CO -emissions. The purpose of the scheme is to speed up green transition in private businesses by covering up to 50 pct. of the applicant’s eligible investment costs. The scheme is technology neutral, and most private businesses in Denmark are eligible to apply. The Business Scheme opened for applications in 2020 and runs until 2029 and has a total budget of around 450 mEUR. All relevant information is available on the scheme’s website . The administrative order can be found here ."
DK_009,Deduction for home improvement services (Håndværkerfradrag 2025),"c) the promotion of deep renovation of buildings, including staged deep renovation","From 1 January 2025 the deduction for home improvement services has been reintroduced with a green touch, allowing homeowners to deduct up to DKK 8,600 per person from taxable income for labour costs associated with specified energy-saving renovations and climate-proofing measures. The deduction is intended to stimulate sustainable home improvements. https://ens.dk/tilskud-og-puljer/fjernvarmepuljen and in the regulatory framework: https://www.retsinformation.dk/eli/lta/2025/796 https://ens.dk/tilskud-og-puljer/skrotningsordningen and in the regulatory framework: https://www.retsinformation.dk/eli/lta/2025/806 https://sparenergi.dk/erhvervspuljen 80 https://www.retsinformation.dk/eli/lta/2025/1014"
DK_010,Landsbyggefonden (The National Building Fund),"d) empowering and protecting vulnerable customers and the alleviation of energy poverty, including policies and measures pursuant to Article 24 of Directive (EU) 2023/1791, and housing affordability","Landsbyggefonden is a Danish national revolving housing fund, established by law, that supports the non-profit housing sector through financial means. A key focus is to ensure that energy effi- ciency renovations also benefit vulnerable and low-income households, preventing social exclu- sion linked to rising housing costs. The fund provides financing of large-scale renovations and green upgrades in non-profit housing while safeguarding affordability through subsidy schemes, keeping rents in the renovated buildings affordable. Particular attention is given to disadvantaged neighbourhoods where investments combine physical improvements with social initiatives. By targeting resources to where the needs are greatest, the fund contributes to preventing energy pov- erty, improves standards of affordable housing and fosters social cohesion. In this way, Landsby- ggefonden plays a central role in achieving energy targets, while simultaneously protecting vul- nerable groups and promoting a just transition in line with EU policy objectives."
