measure_category,measure_id,measure_name,epbd_article_2a,directive,description,status
Policy measures,3.1.1,Repair construction energy efficiency requirements,1c,EPBD,"When corrective measures are taken, they must be carried out in accordance with the energy efficiency requirements.",Implemented
Policy measures,3.1.1,Building automation,14(4); 15(4),EPBD,"The Automation and Control System shall be installed above 290 kW in heating and air-conditioning systems by 2025 and in renovated buildings from 2021.",Implemented by Finlex 733/2020
Policy measures,3.1.1,Building automation,8,EPBD,"System requirements will be set for technical building systems in terms of overall energy performance, correct installation and appropriate dimensioning, adjustment and control. The requirements concern technical systems that replace and upgrade existing systems in the building and shall be applied in so far as they are technically, economically and functionally feasible (Government proposal due in 2020).",Implemented by Finlex 733/2020
Policy measures,3.1.5,Energy performance contracting,1(e),EED,"Rental housing companies, real estate companies and municipalities linked to energy performance contracts for their premises implement the energy savings targets for the contract period until 2025.",Implemented - Energy performance contracts period 2017-2015
Policy measures,3.2,Fostering carbon neutrality,1(e),RED,"The use of coal for energy production will end by 2029. EUR 90 million will support energy producers phasing out coal by 2025.",Implemented - Finlex 416/2019
Policy measures,3.2,Fostering carbon neutrality,1(e),RED,Part of fossil fuel oil must be replaced by bio-oil.,Implemented by Finlex 418/2019
Policy measures,3.2,Promoting carbon neutrality,1(e),RED,"Phasing out fossil fuels for individual heating by 2050 by setting a requirement for the share of renewable energy.",Implemented - Finlex 927/2021
Policy measures,3.2,Promoting carbon neutrality,1(e),EED,"The report of the Ministry of Employment and the Economy's Energy Efficiency Working Group has been completed and the implementation of the measures.",Implemented
Policy measures,3.2,Promoting carbon neutrality,1(e),EPBD,Legislation on the assessment of LCA repair projects.,Not promoted
Policy measures,3.3,Energy efficiency in maintenance and renovation projects,1(e),,"Staged deep renovations would require changes to the existing building permit procedure (validity of the permit, plan for energy efficiency improvements).",Not promoted
Policy measures,4.1,Weakest part of the building stock,1(d),,"Housing companies have been enabled to demolish the building.",Implemented - Finlex 1330/2018
Policy measures,4.2,Split incentives,1(e),EED,Billing of warm water based on metered consumption.,Implemented - Finlex 254/2021
Policy measures,5,Public buildings,1(e),EED,"Municipalities that have signed energy performance contracts and other public property owners will implement energy saving measures for the contract period up to 2025.",Implemented - Energy performance contracts period 2017-2015 and 2026-2035
Policy measures,5,Public buildings,1(e),RED; EPBD,"The central government will phase out oil for heating by 2025 and encourage other public actors to do the same.",Implemented - Decision in principle 11 April 2024
Policy measures,5,Public buildings,1(e),RED,"Consolidate low-carbon to cover: in addition to heating energy consumption, the whole life cycle of the building (LCA perspective).",Implemented by the Construction Act Finlex 751/2023
Policy measures,6.1,Smart energy system and buildings,1(f),EED; EPBD,"Definition of the functional characteristics of smart meters and installation of generation II electricity meters.",Implemented - 2025 will be switched to electricity measurement for 15 minutes
Policy measures,6.1,Smart energy system and buildings,1(f),EED; EPBD,Legislative changes (e.g. legislation on energy communities).,Implemented - Finlex 767/2021
Policy measures,6.1,Smart energy system and buildings,14(4); 15(4),EED; EPBD,Buildings with intelligent automation systems when systems are being replaced.,Implemented by Finlex 733/2020
Policy measures,6.1,Smart energy system and buildings,1(f),EED,Central information exchange system for retail electricity markets.,Implemented - DataHub 2.0 to be used 2/2022
Policy measures,6.1,Smart energy system and buildings,1(f),,"Ensuring the interoperability of built environment data through cooperation and legislation.",Run 2020-2022 project ongoing
Policy measures,17.1,Fire safety,7,EPBD,"Those undertaking a construction project shall ensure that the building is designed and constructed in such a way as to ensure fire safety for the purpose.",Implemented - Finlex 751/2023 and Finlex 976/2024
Policy measures,17.1,Fire safety,7,EPBD,"The load-bearing structures of a building shall be such that they can withstand a minimum period of time in the event of a fire, taking into account the collapse of the building, securing the exit, rescue and recovery of the fire.",Implemented - Finlex 751/2023
Policy measures,17.1,Fire safety,7,EPBD,It must be possible to limit the development and spread of fire and smoke in the building and the spread of fire to neighbouring buildings.,Implemented - Finlex 751/2023
Policy measures,17.1,Fire safety,7,EPBD,Construction products and technical installations suitable for fire safety shall be used in the construction of the building.,Implemented - Finlex 751/2023
Grants and subsidies,3.2,Promoting carbon neutrality,,RED,Oil heating of state and municipal properties to be phased out by 2024.,Implemented - Government programme 2019
Grants and subsidies,3.2,Promoting carbon neutrality,,RED,Encouraging oil-fired buildings to switch to other forms of heating during the 2020s.,Implemented - Principle Decision 5/2021 OP 4/2024
Grants and subsidies,4.1,The weakest part of the building stock,,EPBD,Energy grant for improvements beyond the standard of residential buildings.,Implemented - Finlex 1341/2019
Grants and subsidies,4.1,The weakest part of the building stock,1(d),,A renovation allowance for the condition studies of damp/microbial/indoor housing and residential buildings and for the planning costs of renovations of such buildings.,Implemented in 2020-2023
Grants and subsidies,4.1,The weakest part of the building stock,1(d),,Assistance for the demolition of unoccupied and/or particularly degraded buildings.,Implemented - Finlex 149/2019
Grants and subsidies,4.3,Market failures,1(d),EPBD,The energy subsidy allocated to residential buildings in 2020-2022 can be used for planning costs.,Implemented - Finlex 1341/2019
Grants and subsidies,4.3,Market failures,3(b),EPBD,"Explore possibilities to support building stock development and energy efficiency improvements in areas where access to market-based financing is problematic.",Under preparation
Grants and subsidies,4.4,Energy poverty,1(d),EPBD,"Vulnerable households can apply for housing assistance for housing maintenance costs, including water and heating costs.",Implemented - Kela/General Housing Allowance
Grants and subsidies,4.4,Energy poverty,1(d),EPBD,"Vulnerable households can claim income support for basic expenditure such as rent or consideration for their own home, heating costs for a single-family house, water charges or household electricity.",Implemented - Kela/Basic income support
Grants and subsidies,4.4,Energy poverty,1(d),EPBD,Grant for financial advisory activities for tenants 2018-2021.,Implemented - State budgets 2020-
Grants and subsidies,4.4,Energy poverty,1(d),EPBD,Renovation allowances for individuals for the renovation of elderly and disabled housing.,Implemented - State budgets 2020-
Grants and subsidies,4.4,Energy poverty,3(c),,Grant to individuals for building condition assessment and renovation planning.,Implemented - Finlex 1341/2019
Grants and subsidies,4.4,Energy poverty,3(c),,Grant to housing companies for fitness research and renovation planning.,Implemented - Finlex 1341/2019
Grants and subsidies,5,Public buildings,3(c),EED; EPBD,Energy efficiency measures have the possibility to apply for energy support.,Implemented - State budgets 2020-
Grants and subsidies,5,Public buildings,3(c),EED; EPBD,Energy aid for ESCO services.,Implemented - State budgets 2020-
Grants and subsidies,5,Public buildings,3(c),EED/RED,Continue voluntary energy and renewable energy audits of municipalities.,Implemented - State budgets 2020-
Grants and subsidies,10,Financial risk management,3(c),,"The subsidy conditions of ARA's subsidised loans for multi-dwelling residential buildings will be amended to make them a more attractive option for sites that do not receive market-based financing for renovation projects.",Recommendation
Grants and subsidies,11,Public funding,3(c),,"As short-term cyclical public subsidies disrupt markets and temporarily increase prices, financial incentives need to be long-term and predictable.",Recommendation
Grants and subsidies,11,Public funding,3(c),EPBD,Continuation of the energy grant for residential buildings after 2022.,Implemented in 2023 - Finlex 1095/2022
Grants and subsidies,11,Public funding,3(c),EPBD,"Public support and incentives will be directed in particular towards energy efficiency improvements beyond standards and testing of new technologies and concepts.",Recommendation/Implemented energy support for new technologies - Finlex 262/2023
Grants and subsidies,11,Public funding,3(c),EPBD,Residential energy subsidy for energy renovation of residential buildings beyond the level required by the energy regulations for the years 2020-2022.,Implemented by Finlex 1341/2019
Grants and subsidies,11,Public funding,3(c),,Increased household allowance for those giving up oil heating fixed-term 2022-2027.,Implemented - State budgets 2022-
Grants and subsidies,11,Public funding,3(c),,Interest-subsidy loan for renovation of rented and right-of-occupancy buildings for an indefinite period.,Implemented - State Budgets
Grants and subsidies,11,Public funding,3(c),,Guarantee loans for the renovation of housing companies buildings for an indefinite period.,Implemented - State budgets
Grants and subsidies,11,Public funding,1(d),,Repair allowances for the renovation of housing for the elderly and persons with disabilities.,Implemented - State budgets open-ended
Grants and subsidies,11,Public funding,3(c),EED/EPBD,"Energy support to companies and communities for investments in conventional technologies for those who have signed an energy performance contract. Increased support for ESCO projects. In force from 2017 to 2025.",Implemented - State budgets
Grants and subsidies,11,Public funding,3(c),EED/RED,Energy support to companies and communities for renewable energy investments. To be decided annually.,Implemented - State budgets
Grants and subsidies,11,Public funding,3(c),EED,Energy support for demonstration projects for innovative solutions contributing to the transition to a low-carbon energy system. To be decided annually.,Implemented - State budgets
Grants and subsidies,12,Redirecting investments towards energy efficiency improvements in the public building stock,3(c),EED/EPBD,"In the public sector, ESCO projects are supported and implemented during the energy performance contracting period (2017-2025).",Implemented - State budgets
Funding,9,Supply-demand packaging,3(c),EPBD,"Explore an impact investment model where the renovation investment is financed by private investors and housing companies and a performance reward is paid to investors according to the achievement of the performance targets set for energy savings and emission reductions.",Recommendation
Funding,10,Financial risk management,3(b),EPBD,The revision of the Energy Certificates Database will take into account the information needs of the financial sector.,Implemented
Funding,10,Financial risk management,3(b),EPBD,Companies providing energy renovation services provide financial institutions with secured information on the energy and cost savings that can be achieved by products and services.,Recommendation
Funding,10,Financial risk management,3(b),EPBD,Enhance advice on green financing opportunities for renovation projects.,Implemented
Funding,10,Financial risk management,3(c),EPBD,"Seek to make sustainable funding available, including in declining areas, for buildings with long-term prospects for use.",Under preparation
Funding,10,Financial risk management,3(b),EPBD,Continue and intensify cooperation in the real estate construction and financial sectors.,Implemented
Education and skills,4.3,Market failures,1(f),EED; EPBD,"Explore ways to address identified skills and labour shortages, e.g. by increasing training especially in polytechnics and by developing the content of automation training for vocational learners and polytechnics.",Recommendation
Education and skills,5,Public buildings,1(e),EPBD,"The established competence centre for innovative public procurement KEINO which has issued procurement guidelines covering carbon neutrality targets resource wisdom and the circular economy.",Implemented
Education and skills,6.2,Education and skills,1(f),EPBD,"Undergraduate studies in the construction sector at all levels of education include the teaching of building physics, building materials, production techniques, building management, house engineering etc. These criteria must also be taught from other sectors to students undergoing training.",Implemented
Education and skills,6.2,Education and skills,1(f),,"Increase the open digital education offer for continuous learning in renovation and energy efficiency.",Implemented - Centre for Continuous Learning (JOTPA) Finlex 682/2021
Education and skills,6.2,Education and skills,1(f),EPBD,Promote the implementation of research knowledge in education through enhanced cooperation between universities higher professional education and initial vocational education and training.,Implemented
Education and skills,6.2,Education and skills,1(f),EPBD,"Promote the acquisition of new skills by all parties involved in repair construction. New areas of competence include renewable energy in buildings (photovoltaics heat pumps), related building technology, smart automation and energy storage, demand response, smart grid, total operation (hybrid systems), life-cycle advantage.",Implemented - Centre for Continuous Learning (JOTPA) Finlex 682/2021
Education and skills,6.2,Education and skills,,EPBD/EED/RED,"Facilitate the smooth implementation of renovation projects including by introducing new forms of works in addition to the old ones (e.g. collaborative works life-cycle responsibility works), recommending a proactive role for municipal building controls in renovation projects and improving the skills of lay commissioners.",Recommendation
Education and skills,6.2,Education and skills,3(e),EPBD/EED/RED,"Production of freely available educational materials for educational use, e.g. from the perspective of renovation and low-carbon development (cf. BUILDUPSkills Finland educational materials).",Recommendation
Education and skills,6.2,Education and skills,3(e),EPBD/EED/RED,"Improving the competence, reliability and value of maintenance as a whole.",Recommendation
Education and skills,6.2,Education and skills,,EPBD,Continuous learning pathway in mathematics from nursery school through primary and secondary school to vocational and higher education.,Recommendation
Advice and information,3.1.3,Energy certificates,3(b),EPBD,Efforts will be made to make energy class information mandatory for advertisements on housing sales.,Implemented (Varke)
Advice and information,3.3,Energy efficiency in maintenance and renovation projects,1(f),EPBD,"Improve the availability and use of designers, in particular for residential renovation projects.",Recommendation
Advice and information,9,Packaging of demand and supply,,,Continue regionally organised joint procurement and encourage group repairs.,Recommendation
Advice and information,13,Advice,3(e),EPBD,Improving the effectiveness of advice through more coordinated repair and energy advice.,Under preparation
