measure_id,measure_name,objective,type_of_policy_or_measure,instrument_type,source,quantitative_target,planned_budget_and_sources,entities_responsible,expected_impact,state_of_execution,date_of_entry_into_force,implementation_period
LT_001,Article 2.01.02:2016 Design and certification of the energy performance of buildings,"This technical regulation applies to the energy performance of heated residential and non-residential buildings (parts thereof, energy performance calculation etc.).",Renovation of cost-effective buildings,Regulatory,STR 2.01.02:2016,Buildings will meet minimum requirements,—,AM,All new and renovated buildings shall have an assigned energy performance class,Ongoing,Nov-16,Applied on a permanent basis
LT_002,Law No I-1240 'Construction Law of the Republic of Lithuania',"Regulate new construction and renovation of buildings and specify general technical and energy efficiency requirements. It also specifies minimum energy performance requirements for buildings and defines the certification of energy performance of buildings, the need for an energy performance certificate shall be indicated.",Renovation of cost-effective buildings,Regulatory,"Law of the Republic of Lithuania on Construction, Articles 11 and 51",Specify minimum energy performance requirements for buildings and define the certification process,—,"AM, SSVA",Description of the procedure to be followed,Ongoing,March 1996 (consolidated version in force: July 2025),Applied on a permanent basis
LT_003,Setting minimum energy performance standards for residential and non-residential buildings,Set minimum energy performance standards in relevant legislation,National minimum energy performance standards and accompanying policy measures,Regulatory,"Directive, Art. 9, pt. 1.2",Not applicable,—,AM,The share of buildings renovated shall increase by at least 20% by 2030.,Implemented,May 2026,By May 2026
LT_004,Ensuring the implementation of minimum energy performance standards,"Establish a framework to ensure that all buildings meet minimum energy performance standards. Include checks, monitoring, registration and control of energy performance certification of buildings and the application of penalties for non-compliance",National minimum energy performance standards and accompanying policy measures,Administrative,"Directive, Art. 9, pt. 7",Not applicable,—,AM,—,Impracticable,—,—
LT_005,STR 2.01.02:2016 'Energy performance design and certification of buildings',"This technical building regulation applies to the energy performance of heated residential and non-residential buildings (parts thereof), energy performance [...]",National minimum energy performance standards and accompanying policy measures,Regulatory,STR 2.01.02:2016,Ensure that new and refurbished buildings meet the required minimum energy performance class,—,AM,All new and renovated buildings shall have an assigned energy performance class,Active,November 2016,—
LT_006,EE2-E Renovation (modernisation) of multi-apartment buildings,The main objective of the measure is to upgrade buildings to classes B and C and to reduce energy consumption each year in order to reduce heating costs for consumers and improve living conditions in multi-apartment buildings.,Measures to promote the renovation of buildings,Infrastructural,NECPs,"Around 2,269 multi-apartment buildings have been updated.","Total funds: EUR 3,004.11 million; Public money: EUR 1,152.89 million. (Public funds)","ENMIN, EPMA","Energy savings: ~0.3 TWh and cumulative fuel & energy savings up to 5,293 GWh.",Ongoing,In 2021,2026
LT_007,EE2-P Renovation (modernisation) of multi-apartment buildings,"Infrastructure measure to improve energy efficiency of multi-apartment buildings in order to reduce thermal energy consumption, GHG emissions, and improve living conditions of residents.",Measures to promote the renovation of buildings,Infrastructural,NECPs,"5,042 multi-apartment buildings refurbished by 2030.","Total funds: EUR 3,004.11 million; Public funds: EUR 152.89 million. (Public funds)","AM, EPMA","GHG saved: 293.06 kt; total fuel & energy savings: up to 3,196.42 GWh.",Ongoing,2024,2030
LT_008,EE8-E Modernisation of internal heating and hot-water systems in buildings,Financial instrument aimed at modernising outdated heat points to loop-type heat points and upgrading internal systems.,Measures to promote the renovation of buildings,Financial,NECPs,Reimbursement of 60-80% of investment costs and refurbishment of 158 heat points.,"Total funds: EUR 3,004.11 million; Public funds: EUR 1,152.89 million. (Public funds)","ENMIN, EPMA",Energy savings: ~0.3 TWh; cumulative fuel & energy savings: up to 29.94 GWh.,Implemented,In 2021,2022
LT_009,EE8-P Modernisation (continuation) of internal heating and hot-water systems in buildings,"Continuation of EE8-E; measure implemented 2023-2030 with ~290 upgrades/year (approx. 2,320 total).",Measures to promote the renovation of buildings,Financial,NECPs,"See description (~290 per year; approx. 2,320 total).","Total funds: EUR 3,004.11 million; Public funds: EUR 152.89 million. (Public funds)","LEA, ENMIN",GHG saved: 20.37 kt CO2-eq; cumulative savings: 181.16 GWh.,Ongoing,In 2023,2030
LT_010,EE10-E Renovation (modernisation) of one- or two-apartment dwellings by natural persons,"Financial instrument to encourage owners of individual houses to renovate to at least the required energy class and reduce thermal energy costs by >=40%; includes refurbishing 1,106 houses.",Measures to promote the renovation of buildings,Infrastructural,NECPs,"Reduce thermal energy costs by >=40%; refurbish 1,106 houses.","Total funds: EUR 3,004.11 million; Public funds: EUR 1,152.89 million. (Public funds; Private funds)",AM,Energy savings: ~1.2 TWh; cumulative fuel & energy savings: up to 611.44 GWh.,Ongoing,In 2021,2022
