measure_id,measure_name,section,description,public_money_spent,european_funding,private_money_spent,listed_in_2020_ltrs
NL_001,Collective heat systems,3.1,"Buildings and homes in the Netherlands must get rid of natural gas. Collective heat will play an important role in this - in addition to heat pumps and sustainable gas. There is a lot of potential for making the built environment more sustainable in collective heat systems, for three reasons: 51 1. collective heat systems are socially the cheapest option for certain neighbourhoods (e.g. where homes are built close to each other and insulation is limited), 2. collective heat systems play an important role in the energy system to unlock certain sustainable sources that otherwise remain unused (e.g. geothermal, aquathermal and residual heat) and 3. collective heat systems limit the necessary reinforcement of the electricity grid for the districts concerned. Over the last few years, projects in a number of major cities have faced barriers to affordability, putting them on hold. For each project, stakeholders look at what is possible to bring these collective heat projects further. However, it also requires longer-term measures to make collective heat attractive to end-users. Last year, first steps were taken to improve this, both through earlier legislative pathways and through additional policy measures. New legislation is discussed below: the Municipal Instruments Heat Transition Act (Wgiw) and the Collective Heat Act (Wcw). These two laws create a robust framework that boosts the development of affordable collective heat. In addition to this legislation, additional instruments are being developed to strengthen the public implementing power, such as a Heat Networks Guarantee Scheme (GRW). € 174.5 million will be made available from the Climate Fund to the Guarantee Scheme for Heat Grids (GRW). This amount will be used in particular as a risk provision in the budget. The risk scheme shall be drawn up at the earliest from mid-2026 for a period of 5 years after which the scheme shall be evaluated.52 As of 2023, the Heat Networks Investment Subsidy (WIS) has been introduced (see also below), which helps to reduce the unprofitable top by means of an investment subsidy. After each opening, the scheme is evaluated, taking into account the lessons learned from 2023 to improve the scheme. A user who connects to a heat network will have to deal with connection costs and internal adjustments. This is discussed in the section on subsidies for connection costs for in-house adjustments. The necessary scaling-up of renewable sources for heat networks is stimulated through the SDE++ (which is addressed in this chapter under ‘Tackling renewable energy sources’), with its own ‘gates’ for low- and high-temperature heat projects.",,,,
NL_002,Collective Heat Act (Wcw),3.1,"The Collective Heat Act (Wcw) will replace the Heat Act. Since 2014, the Heat Act has regulated the supply of heat to consumers and small and medium-sized enterprises for connections up to 100 kilowatts. The Netherlands Authority for Consumers and Markets (ACM) oversees the implementation of the Heat Act. The Wcw aims to facilitate the growth and sustainability of collective heat systems in the built environment. Municipalities will be given guidance to implement their management role in making the built environment more sustainable, as agreed in the Climate Agreement. Sustainability standards are included that drive the efficient sustainability of the heat supply. Security of supply and consumer protection are better ensured, and where possible aligned with the protection at E&G. Finally, new tariff rules are introduced, which increase transparency and gradually base heat tariffs on the actual costs incurred, instead of the current gas reference. With this, the bill steers towards fairer heat rates for consumers and clear revenues for heat companies. A transition period of ten years is foreseen, whereby heat networks must be in public hands for more than 50 percent by 2036. On July 3rd, the bill was passed by the House of Representatives. On 9 December, the Senate approved the Collective Heat Act (Wcw).",,,,
NL_003,Heat networks Investment subsidy (WIS),3.1,"The Heat Networks Investment Grant (WIS) is a multi-year opening for cumulative € 1.6 billion from the Climate Fund and aims to stimulate the realization of heat networks by lowering the unprofitable top. The WIS has been opened twice so far, for the first time in 2023 and for the second time in 2024. A total of 14 projects have been completed and 6 applications are still pending. In 2024, only a quarter of the total open budget was requested and the remaining budget was advanced. The disappointing enthusiasm is due to the reluctance of the large private heat companies to invest in new projects, pending clarification about the public market organisation of the bill Collective Heat Act. The original target for 2030 (500,000 new connections in the existing construction compared to 2021) is no longer realistic and has therefore recently been adjusted to 200,000 new connections in 2030 .",,,,
NL_004,New Heat Now!,3.1,"New Heat Now! (NWN) is an incentive programme of the Dutch government that was established under the National Growth Fund. The program aims to accelerate the development and realization of sustainable collective heat projects. In particular, NWN focuses on projects that use residual heat, aquathermal energy, geothermal energy and other renewable sources. The aim is to enable natural gas-free heating, especially in urban areas, and thus make an important contribution to the energy transition. Since its launch, NWN has made significant progress in realizing natural gas-free neighborhoods and promoting innovative heat solutions. The implementation of NWN projects is supported by grants and guidance, with the focus on combining different heat sources and optimising existing infrastructure. In addition, work is being done to strengthen the direction and cooperation between public and private parties, with the aim of building a robust and future-proof heat infrastructure. The total amount of New Heat Now! is €200 million. Of this, almost €160 million has already been committed to projects, of which €25 million has already been disbursed. The projects consist of 10 ‘flywheel projects’ (warmtenet projects) and 5 innovation projects (warmtenet related) which are united in the Leer & Development Programme of New Heat Now!. Within the L&O, bottlenecks and solutions are brought to the table and discussed openly. Through the joint efforts of municipalities, housing corporations, heat companies and residents, 52 Letter to Parliament on the topicalisation of collective heat | Parliamentary Paper | Rijksoverheid.nl sustainable heat solutions are realized that contribute to the energy transition and the achievement of climate objectives. Together with the WIS scheme, the programme contributes to a future-proof, sustainable heat supply.",,,,
NL_005,Subsidies for connection costs for in-house adjustments,3.1,"A user who connects to a heat network will have to deal with connection costs and internal adjustments. In order to reduce these costs, various subsidies are available. These are components for heat networks from the current broader schemes ISDE (homeowners), DUMAVA (social real estate) and SVVE (for VvEs). In addition, the incentive scheme for natural gas-free rental housing (SAH) is specifically available for the costs incurred for the connection of existing rental housing and owner-occupied housing with purchase and rental housing (or mixed owner-occupied housing) to an external heat network. The commitment is that a new or adapted scheme will enter into force in 2026, streamlining these schemes.",,,,
NL_006,Incentive scheme for natural gas-free rental housing (SAH),3.1,"The Stimulation Scheme for natural gas-free rental housing (SAH) is a subsidy for landlords (housing corporations, institutional investors and private landlords) and mixed VvEs that offers a chance for contributions for the connection of existing (rental) homes to an external heat network. The SAH was part of the Startmotor approach of the climate agreement, aimed at a first scale-up of the sustainability of the housing stock by connecting 100,000 homes to heat in the short term. With the SAH, VvEs and landlords receive subsidies for existing homes that go off natural gas within 6 years through a connection to a heat network. There is a subsidy for adjustments in the homes (indoor housing costs), the connection costs to a heat network and the purchase of fixed income. If the houses are already connected to a heat network, but natural gas is still used for hot water and / or for cooking, you can also apply for SAH for the indoor costs. The rental property will then no longer use natural gas after the execution. From 2025 onwards, subsidies will be available for the purchase of the fixed-duty costs for heat supply for landlords. They must fully use this to buy off the fixed costs for a heat network for ten years, so that the costs of the tenant will ultimately be lower. A maximum of 8000 euros can be requested per property. The total budget for 2024 was €200 million. As of 2025, the budget has been increased by 25 million, intended for a fixed contribution of €2,000 per house for the purchase of fixed income.",€ 65.269.000,€0.00,N.B.,Yes
NL_007,Sustainability of collective heat systems,3.1,"The sustainability of collective heat sources is one of the objectives of the Collective Heat Act (Wcw). The Wcw will require heat companies to gradually increase their sustainability towards 0 kg of CO₂ equivalent emissions by 2050. This is done by setting a sustainability standard per heat lot that regulates the maximum emissions of greenhouse gases. There will be a gradual phasing-out path for the permitted emissions per year that will be elaborated in lower regulations. Once every five years, the established standards will be evaluated for effectiveness and impact. The Wcw also regulates that the Authority for Consumers and Markets (ACM) supervises and can impose sanctions if the permitted emissions are violated. From five years after the first exceedance of the standard, the ACM can firmly maintain and, in the event of a persistent violation, advise the municipality to withdraw the designation or exemption of the heating company. In exceptional cases, an exemption and extension of the performance standards can be granted by the ACM if sustainability is (temporarily) not feasible. Exemption from sustainability standards can be granted in case a heat company cannot meet these standards because the realisation of a new sustainable heat source is not feasible. The Wcw also stipulates that heat companies must share their emissions reports. ACM will publish the performance annually and consumers should also receive the information on emissions via their invoices. Under the current Heat Act, since 2020, permit holders of heat networks have been obliged to report on the sustainability of the heat supplied in their management report. Permit holders are heat companies that supply heat to more than 10 customers simultaneously and 10,000 gigajoules or more per year. In 2024/25, a bill for the Heat Act is in preparation for the implementation of the EED. With this, the Heat Act is adapted to steer towards a more efficient grid or sustainability plans for this in the event of construction and major renovation. Municipal Instruments for Heat Transition Act (Wgiw) The Municipal Instruments for Heat Transition Act (Wgiw) contains amendments to the Environment Act and the Gas Act/Energy Act. The law gives municipalities the power to draw up local rules for the heat transition from gas to sustainable alternatives such as a heat pump or a heat network. Under the Wgiw, municipalities can order network operators to close off districts designated in the environmental plan from the gas. The law is therefore the final piece of the neighbourhood-oriented approach. The law aims to give municipalities the tools to designate areas within their municipality that, in the long term, will no longer be allowed to use fossil fuels for heating buildings and will switch to a sustainable heat supply. With this power, the municipality can implement the transition from natural gas to sustainable alternatives in the built environment by setting local rules. To this end, the municipality can designate districts in the environmental plan where an energy supply with renewable energy becomes available to replace natural gas, the so-called designation authority. The Wgiw requires municipalities to draw up a heat programme by 2026 at the latest. Among other things, the substantive requirements that that program must meet and the update obligation (of 5 years) are elaborated in a General Measure of Management (AMvB), called the Decree municipal instruments heat transition. In addition, various safeguards when deploying the power under the Wgiw are elaborated in the Bgiw. The Wgiw was adopted by the House of Representatives on 23 April 2024. The Senate adopted the proposal on 10 December 2024.53 The Bgiw was suspended from both the First and Second Chambers at the beginning of July (pending procedure). The aim is to have the full Wgiw and the Bgiw enter into force on 1 July 2026. Article IIA entered into force on 1 January. This concerns the amendments to the Heat Act in anticipation of the bill on collective heat that is now before the House of Representatives.",,,,
NL_008,Heat programmes (formerly Heat Transition Visions),3.1,"The heat program is the first step in the planning process under the Wgiw. In the Dutch Climate Agreement (2019), it was agreed that municipalities make plans (transition visions of heat) in which they make clear in which districts they will work in the next 10 years. The Wgiw stipulates that the transition vision heat will be applied as a mandatory program under the Environment and Planning Act, called the heat program. The heat program must be updated every 5 years. The heat programme indicates which districts the municipality will work with in the coming period, of at least ten years. This can involve both (the municipality's commitment to) insulation and the switch to a sustainable alternative to natural gas. This gives the municipality and stakeholders a picture of the heat transition in the built environment and gives them a perspective for action. The heat program describes whether, when and how the district is preserved. In doing so, the timeline of making the district more sustainable and potentially available sustainable heat alternatives are mapped out. By 31 December 2027, municipalities must update their current heat transition vision and adopt a new heat programme. Municipalities can make use of the knowledge and insights of the National Local Heat Transition Programme, including the heat programme support offer, when drawing up the heat programme.",,,,
NL_009,National Program for Local Heat Transition (NPLW),3.1,"The National Program Local Heat Transition (NPLW) is an inter-administrative program of the government, VNG and IPO. The NPLW was officially launched on 1 January 2023 and builds on the knowledge of the Natural Gas- Free Neighbourhoods Programme (PAW) and the Expertise Centre for Heat (ECW).",,,,
NL_010,Scheme for the capacity of local and regional authorities for climate and energy policy (CDOKE),3.1,"On 27 February 2023, the temporary scheme for the capacity of local and regional authorities for climate and energy policy (CDOKE) was published55. The aim of this scheme is to have municipalities and provinces build up an internal organisation aimed at carrying out tasks resulting from the Climate Agreement. The scheme initially allocated funds for three years. The recent recalibration of the scheme updates the activities and associated resources for the performance of the tasks for the period 2025-2030. In addition, the Regional Structure Grant Scheme National Programme for Local Heat Transition has been set56 up, with which municipalities can organise support at regional level with each other and with the help of the province and NPLW.",,,,
