measure_id,measure_name,objective,type_of_policy_or_measure,planned_budget_and_sources,entities_responsible,state_of_execution,date_of_entry_into_force,implementation_period
1.1.1,Implementation of minimum energy performance standards (MEPS) in the tertiary sector,"According to Article 9 of the EPBD, the main objective of this measure is to ensure that all non-residential buildings are below a certain maximum energy performance threshold. In addition, and in accordance with Article 5 of the EPBD, this measure also aims to ensure that minimum energy performance requirements are set for buildings or building units in order to achieve at least cost-optimal levels and, where appropriate, more stringent benchmarks, such as the requirements for nearly zero-energy buildings and zero-emission buildings.",Technical and regulatory scientist.,"EUR 800.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc",Under development and partially completed.,2026-2027,2026-2030
1.1.2,Regulatory framework for the promotion of energy renovation,"In accordance with Article 8 of the EPBD, the objective of this measure is to ensure that when buildings undergo major renovation, the energy performance of the building or the renovated part thereof is upgraded in order to meet minimum energy performance requirements, provided that it is technically, functionally and economically feasible.",Regulatory.,The actions described in this measure are carried out directly with the own resources of the competent administrations involved and do not entail additional expenditure for them.,"MIVAU, MITERD, IDAE, IETcc, CCAA and EELL",Under development and partially completed.,2026,2026-2030
1.1.3,Public aid for energy renovation,"In accordance with Art. 17 of the EPBD, the objective of this measure is to ensure that appropriate funding, support measures and other instruments are available from the public domain to address market barriers in order to deliver the necessary investments to transform its building stock into zero-emission buildings by 2050 at the latest.",Economic policy or measure.,"EUR 0.000,00 from the budget of the General State Administration and EUR 487.200.000,00 from the budgets of the Autonomous Communities.","MIVAU, MITERD, IDAE, CCAA, LRA",Under development and partially completed.,2026,2026-2030
1.1.4,Tax incentives to promote energy renovation,"In accordance with Art. 17 of the EPBD, the objective of this measure is to ensure that support measures and other appropriate instruments are in place from the public domain to address market barriers in order to deliver the necessary investments to transform its building stock into zero-emission buildings by 2050 at the latest.",Economic policy or measure.,"EUR 225.600.000,00 from the AGE budget.","Ministry of Finance, Autonomous Communities and local authorities",Under development and partially completed.,2026,2026-2030
1.1.5,Promotion of renovation of rented housing,"In accordance with Article 17 of the EPBD, the objective of this measure is to ensure an appropriate distribution of the benefits and costs of all energy renovation actions presenting split incentives, such as that where financial incentives are provided to owners of buildings or building units for the renovation of their rented buildings or building units, those incentives benefit both owners and tenants.","Regulatory, economic, governance and awareness-raising.","EUR 324.000.000,00 from the AGE budget.","AGE, Autonomous Communities and local authorities",Under development and partially completed.,2026-2030,2026-2030
1.1.6,Monitoring and follow-up of compliance with energy efficiency obligations,"In accordance with the EPBD, which places particular emphasis on the monitoring to be carried out of the measures available, the objective of this measure is to ensure proper monitoring and follow-up of the main energy efficiency and sustainability indicators presented by the building stock, in order to ensure proper design and prioritisation of actions, correct assessment of the effectiveness of the measures implemented and increased reliability as regards compliance with the objectives established by the Directive.",Legislation and technical science.,"EUR 400.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc",Under development and partially completed.,2026-2027,2026-2030
1.2.1,Promoting deep renovation through energy regulations and technical building regulations,"In accordance with Art. 12 of the EPBD, the objective of this measure is to encourage deep renovation of buildings, and the appropriate establishment of a system for staged deep renovation.",Technical and regulatory scientist.,"EUR 200.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc, CCAA, EELL",Under development and partially completed.,2026-2027,2026-2030
1.2.2,Financial support and fiscal incentives to promote deep renovation in one or more steps,"According to Article 17 of the EPBD, the objective of this measure is to encourage deep building renovation and staged deep renovation.",Economic policy or measure.,"EUR 159.400.000,00 from the budgets of the AGE and EUR 75.600.000,00 from the budgets of the ACs.","AGE policy, the Autonomous Communities and local authorities",Under development and partially completed.,2026-2027,2026-2030
1.2.3,Technical assistance to promote deep energy renovations,"In accordance with Articles 17 and 18 of the EPBD, the objective of this measure is to encourage deep and staged deep renovation of buildings.",Governance and awareness-raising.,"EUR 100.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc, CCAA and EELL",Under development and partially completed.,2026-2027,2026-2030
1.3.1,Reduction of consumption and emissions in public buildings,"In accordance with Article 5 of the Energy Efficiency Directive, the objective of this measure is to promote a sustained and verified reduction in energy consumption in the public sector as a whole, through a combined strategy of improved energy management, decarbonisation of thermal uses, and organisational and cultural change in energy use.","Governance, technical science, regulation and economics.","EUR 133.750.000,00 from the budget of the AGE.","AGE policy, the Autonomous Communities and local authorities",Under development and partially completed.,2026-2027,2026-2030
