country_code,date,tmax_c,tmean_c,threshold_p90_c,anomaly_c,is_hot_day,heatwave_id,heatwave_day,heatwave_length
AT,2021-01-01,0.24,-1.87,10.64,-10.4,False,,,
AT,2021-01-02,4.76,1.35,10.53,-5.77,False,,,
AT,2021-01-03,5.46,2.56,9.93,-4.47,False,,,
AT,2021-01-04,2.85,1.83,10.47,-7.62,False,,,
AT,2021-01-05,4.27,2.73,10.56,-6.29,False,,,
AT,2021-01-06,2.59,1.14,9.84,-7.25,False,,,
AT,2021-01-07,3.79,0.12,9.51,-5.72,False,,,
AT,2021-01-08,3.52,-0.74,9.04,-5.52,False,,,
AT,2021-01-09,3.07,-0.64,9.0,-5.93,False,,,
AT,2021-01-10,0.59,-2.15,9.0,-8.41,False,,,
AT,2021-01-11,0.6,-3.16,8.67,-8.07,False,,,
AT,2021-01-12,2.76,-1.91,8.37,-5.61,False,,,
AT,2021-01-13,3.0,1.18,8.03,-5.03,False,,,
AT,2021-01-14,1.92,0.39,7.74,-5.82,False,,,
AT,2021-01-15,1.57,-0.58,7.69,-6.12,False,,,
AT,2021-01-16,-0.8,-2.18,7.69,-8.49,False,,,
AT,2021-01-17,-0.98,-3.16,7.62,-8.6,False,,,
AT,2021-01-18,1.58,-1.86,7.59,-6.01,False,,,
AT,2021-01-19,5.12,2.45,7.69,-2.57,False,,,
AT,2021-01-20,8.02,3.21,7.69,0.33,True,,,
AT,2021-01-21,5.09,1.16,8.06,-2.97,False,,,
AT,2021-01-22,11.29,5.22,8.48,2.81,True,,,
AT,2021-01-23,8.38,5.03,9.34,-0.96,False,,,
AT,2021-01-24,4.91,1.89,9.38,-4.47,False,,,
AT,2021-01-25,4.28,1.03,9.56,-5.28,False,,,
AT,2021-01-26,2.84,0.5,9.72,-6.88,False,,,
AT,2021-01-27,3.56,0.26,9.84,-6.28,False,,,
AT,2021-01-28,6.18,2.45,9.97,-3.79,False,,,
AT,2021-01-29,9.28,5.08,10.87,-1.59,False,,,
AT,2021-01-30,9.71,4.58,10.87,-1.16,False,,,
AT,2021-01-31,1.33,-0.62,11.52,-10.19,False,,,
AT,2021-02-01,3.44,-1.15,11.52,-8.08,False,,,
AT,2021-02-02,6.76,1.83,11.92,-5.16,False,,,
AT,2021-02-03,9.32,4.12,12.11,-2.79,False,,,
AT,2021-02-04,12.1,7.9,12.01,0.09,True,,,
AT,2021-02-05,9.35,5.22,11.92,-2.57,False,,,
AT,2021-02-06,6.39,4.25,11.7,-5.31,False,,,
AT,2021-02-07,6.09,3.61,11.7,-5.61,False,,,
AT,2021-02-08,2.87,0.07,11.7,-8.83,False,,,
AT,2021-02-09,3.55,0.74,11.7,-8.15,False,,,
AT,2021-02-10,1.81,-0.38,11.76,-9.95,False,,,
AT,2021-02-11,-2.55,-4.84,11.86,-14.41,False,,,
AT,2021-02-12,-2.83,-6.2,12.09,-14.92,False,,,
AT,2021-02-13,-1.71,-4.71,12.09,-13.8,False,,,
AT,2021-02-14,1.12,-3.08,12.37,-11.25,False,,,
AT,2021-02-15,2.02,-2.73,12.57,-10.55,False,,,
AT,2021-02-16,2.6,-0.41,12.89,-10.29,False,,,
AT,2021-02-17,10.51,3.98,13.04,-2.53,False,,,
AT,2021-02-18,10.47,4.7,13.04,-2.57,False,,,
AT,2021-02-19,10.27,4.43,13.16,-2.89,False,,,
AT,2021-02-20,7.04,4.04,13.44,-6.4,False,,,
AT,2021-02-21,8.18,5.13,13.61,-5.43,False,,,
AT,2021-02-22,9.9,5.21,13.61,-3.71,False,,,
AT,2021-02-23,15.01,7.13,13.65,1.36,True,,,
AT,2021-02-24,13.74,7.54,13.74,0.0,True,,,
AT,2021-02-25,13.93,7.0,13.9,0.03,True,,,
AT,2021-02-26,18.14,9.56,13.74,4.4,True,,,
AT,2021-02-27,8.63,5.36,13.9,-5.27,False,,,
AT,2021-02-28,8.05,3.5,14.05,-6.0,False,,,
AT,2021-03-01,8.73,3.34,14.09,-5.36,False,,,
AT,2021-03-02,9.14,3.1,14.09,-4.95,False,,,
AT,2021-03-03,12.42,5.11,14.09,-1.67,False,,,
AT,2021-03-04,13.56,9.18,14.74,-1.18,False,,,
AT,2021-03-05,8.86,3.9,15.02,-6.16,False,,,
AT,2021-03-06,5.09,0.48,14.86,-9.77,False,,,
AT,2021-03-07,7.85,1.13,15.02,-7.17,False,,,
AT,2021-03-08,7.04,1.77,15.07,-8.03,False,,,
AT,2021-03-09,4.51,1.54,15.19,-10.68,False,,,
AT,2021-03-10,6.07,1.46,15.66,-9.59,False,,,
AT,2021-03-11,7.22,3.33,15.71,-8.49,False,,,
AT,2021-03-12,11.64,7.32,15.41,-3.77,False,,,
AT,2021-03-13,13.92,7.88,16.17,-2.25,False,,,
AT,2021-03-14,7.46,5.55,16.67,-9.21,False,,,
AT,2021-03-15,9.26,4.75,16.67,-7.41,False,,,
AT,2021-03-16,7.47,4.1,17.26,-9.79,False,,,
AT,2021-03-17,6.43,2.91,17.39,-10.96,False,,,
AT,2021-03-18,6.02,1.74,17.39,-11.37,False,,,
AT,2021-03-19,4.8,1.14,17.83,-13.03,False,,,
AT,2021-03-20,2.38,-1.28,17.47,-15.09,False,,,
AT,2021-03-21,2.02,-0.44,17.85,-15.83,False,,,
AT,2021-03-22,6.37,2.85,18.3,-11.93,False,,,
AT,2021-03-23,7.78,4.25,18.61,-10.83,False,,,
AT,2021-03-24,9.39,5.52,19.04,-9.65,False,,,
AT,2021-03-25,14.86,7.33,19.4,-4.54,False,,,
AT,2021-03-26,17.27,9.6,19.45,-2.18,False,,,
AT,2021-03-27,16.87,8.91,20.03,-3.16,False,,,
AT,2021-03-28,12.73,7.48,20.22,-7.49,False,,,
AT,2021-03-29,17.81,10.86,20.29,-2.48,False,,,
AT,2021-03-30,21.75,14.69,20.31,1.44,True,,,
AT,2021-03-31,22.21,14.3,20.4,1.81,True,,,
AT,2021-04-01,23.73,16.59,20.59,3.14,True,,,
AT,2021-04-02,15.45,11.62,20.66,-5.21,False,,,
AT,2021-04-03,10.09,6.75,20.69,-10.6,False,,,
AT,2021-04-04,9.02,5.09,20.71,-11.69,False,,,
AT,2021-04-05,17.47,8.71,20.79,-3.32,False,,,
AT,2021-04-06,5.87,2.36,21.2,-15.33,False,,,
AT,2021-04-07,5.69,2.1,21.3,-15.61,False,,,
AT,2021-04-08,7.62,3.89,21.69,-14.07,False,,,
AT,2021-04-09,15.37,7.32,21.42,-6.05,False,,,
AT,2021-04-10,18.11,10.38,21.7,-3.59,False,,,
AT,2021-04-11,18.45,11.76,21.7,-3.25,False,,,
AT,2021-04-12,16.15,8.12,21.95,-5.8,False,,,
AT,2021-04-13,4.75,3.06,22.06,-17.31,False,,,
AT,2021-04-14,7.89,4.41,22.06,-14.17,False,,,
AT,2021-04-15,8.25,4.16,22.06,-13.81,False,,,
AT,2021-04-16,8.6,5.21,22.06,-13.46,False,,,
AT,2021-04-17,9.35,6.4,22.06,-12.71,False,,,
AT,2021-04-18,9.27,6.7,22.21,-12.94,False,,,
AT,2021-04-19,10.68,7.72,22.23,-11.55,False,,,
AT,2021-04-20,14.44,9.13,22.28,-7.84,False,,,
AT,2021-04-21,16.74,11.29,22.44,-5.7,False,,,
AT,2021-04-22,13.66,9.91,22.77,-9.11,False,,,
AT,2021-04-23,14.41,8.45,23.32,-8.91,False,,,
AT,2021-04-24,16.13,9.3,23.28,-7.15,False,,,
AT,2021-04-25,14.87,9.47,23.28,-8.41,False,,,
AT,2021-04-26,12.58,7.11,23.42,-10.84,False,,,
AT,2021-04-27,12.37,7.7,23.32,-10.95,False,,,
AT,2021-04-28,16.54,11.1,23.32,-6.78,False,,,
AT,2021-04-29,20.16,13.86,23.28,-3.12,False,,,
AT,2021-04-30,19.33,14.71,23.28,-3.95,False,,,
AT,2021-05-01,20.38,15.43,23.24,-2.86,False,,,
AT,2021-05-02,13.75,10.9,23.25,-9.5,False,,,
AT,2021-05-03,13.62,9.62,23.32,-9.7,False,,,
AT,2021-05-04,20.54,13.34,23.43,-2.89,False,,,
AT,2021-05-05,18.73,11.7,23.84,-5.11,False,,,
AT,2021-05-06,14.56,9.77,23.84,-9.28,False,,,
AT,2021-05-07,14.27,10.01,23.73,-9.46,False,,,
AT,2021-05-08,16.36,10.5,23.62,-7.26,False,,,
AT,2021-05-09,22.24,15.21,23.62,-1.38,False,,,
AT,2021-05-10,26.99,19.73,23.15,3.84,True,,,
AT,2021-05-11,28.0,21.19,23.15,4.85,True,,,
AT,2021-05-12,17.57,14.78,23.62,-6.05,False,,,
AT,2021-05-13,12.84,11.58,23.62,-10.78,False,,,
AT,2021-05-14,16.95,12.55,23.73,-6.78,False,,,
AT,2021-05-15,16.91,12.88,23.99,-7.08,False,,,
AT,2021-05-16,18.96,14.12,24.42,-5.46,False,,,
AT,2021-05-17,13.91,12.27,24.33,-10.42,False,,,
AT,2021-05-18,16.57,13.16,24.3,-7.73,False,,,
AT,2021-05-19,14.43,11.7,24.02,-9.59,False,,,
AT,2021-05-20,16.45,12.27,24.21,-7.76,False,,,
AT,2021-05-21,20.89,14.27,24.3,-3.41,False,,,
AT,2021-05-22,15.85,12.48,24.75,-8.9,False,,,
AT,2021-05-23,14.37,11.32,24.9,-10.53,False,,,
AT,2021-05-24,16.5,11.17,25.07,-8.57,False,,,
AT,2021-05-25,12.95,10.87,25.3,-12.35,False,,,
AT,2021-05-26,19.31,13.55,25.9,-6.59,False,,,
AT,2021-05-27,16.03,13.37,25.96,-9.93,False,,,
AT,2021-05-28,17.52,13.56,26.53,-9.01,False,,,
AT,2021-05-29,16.72,13.14,26.87,-10.15,False,,,
AT,2021-05-30,15.51,11.9,26.93,-11.42,False,,,
AT,2021-05-31,17.67,13.39,27.21,-9.54,False,,,
AT,2021-06-01,19.74,14.62,27.45,-7.71,False,,,
AT,2021-06-02,22.63,16.62,27.61,-4.98,False,,,
AT,2021-06-03,24.18,18.08,27.86,-3.68,False,,,
AT,2021-06-04,26.84,20.25,28.21,-1.37,False,,,
AT,2021-06-05,28.02,21.39,28.6,-0.58,False,,,
AT,2021-06-06,22.43,18.65,28.67,-6.24,False,,,
AT,2021-06-07,26.19,20.93,28.71,-2.52,False,,,
AT,2021-06-08,27.07,21.65,28.9,-1.83,False,,,
AT,2021-06-09,26.94,22.09,28.9,-1.96,False,,,
AT,2021-06-10,25.68,21.31,28.9,-3.22,False,,,
AT,2021-06-11,25.47,19.69,28.96,-3.49,False,,,
AT,2021-06-12,26.44,21.74,29.68,-3.24,False,,,
AT,2021-06-13,22.3,17.8,29.89,-7.59,False,,,
AT,2021-06-14,22.79,17.18,30.11,-7.32,False,,,
AT,2021-06-15,26.6,20.12,30.56,-3.96,False,,,
AT,2021-06-16,28.77,23.1,30.87,-2.1,False,,,
AT,2021-06-17,29.85,24.0,30.92,-1.07,False,,,
AT,2021-06-18,30.87,25.02,31.0,-0.13,True,AT-2021-06-18,1,5
AT,2021-06-19,31.38,26.15,31.03,0.35,True,AT-2021-06-18,2,5
AT,2021-06-20,32.11,26.65,31.08,1.03,True,AT-2021-06-18,3,5
AT,2021-06-21,32.75,25.38,31.3,1.45,True,AT-2021-06-18,4,5
AT,2021-06-22,30.53,25.11,31.38,-0.85,True,AT-2021-06-18,5,5
AT,2021-06-23,29.48,24.36,31.45,-1.97,False,,,
AT,2021-06-24,32.1,24.84,31.55,0.55,True,,,
AT,2021-06-25,24.62,21.2,31.59,-6.97,False,,,
AT,2021-06-26,25.3,21.19,31.76,-6.46,False,,,
AT,2021-06-27,27.94,22.93,31.76,-3.82,False,,,
AT,2021-06-28,31.3,25.28,31.69,-0.39,True,,,
AT,2021-06-29,30.95,25.65,31.91,-0.96,True,,,
AT,2021-06-30,24.92,19.68,31.91,-6.99,False,,,
AT,2021-07-01,22.31,18.32,31.91,-9.6,False,,,
AT,2021-07-02,19.81,17.18,31.71,-11.9,False,,,
AT,2021-07-03,25.5,20.42,32.2,-6.7,False,,,
AT,2021-07-04,26.38,21.07,31.92,-5.54,False,,,
AT,2021-07-05,26.85,21.76,32.02,-5.17,False,,,
AT,2021-07-06,32.81,26.0,32.2,0.61,True,,,
AT,2021-07-07,29.63,24.82,32.04,-2.41,False,,,
AT,2021-07-08,34.13,26.1,31.7,2.43,True,,,
AT,2021-07-09,25.01,21.42,31.7,-6.69,False,,,
AT,2021-07-10,27.43,21.97,31.7,-4.27,False,,,
AT,2021-07-11,25.02,20.87,31.7,-6.68,False,,,
AT,2021-07-12,27.79,21.97,31.79,-4.0,False,,,
AT,2021-07-13,34.09,26.24,31.83,2.26,True,,,
AT,2021-07-14,26.13,21.36,31.66,-5.53,False,,,
AT,2021-07-15,25.18,20.99,31.79,-6.61,False,,,
AT,2021-07-16,27.45,23.05,31.83,-4.38,False,,,
AT,2021-07-17,26.08,21.7,32.23,-6.15,False,,,
AT,2021-07-18,25.96,21.88,32.08,-6.12,False,,,
AT,2021-07-19,26.31,22.2,32.08,-5.77,False,,,
AT,2021-07-20,23.22,19.33,32.23,-9.01,False,,,
AT,2021-07-21,23.87,19.27,32.23,-8.36,False,,,
AT,2021-07-22,25.5,20.4,32.08,-6.58,False,,,
AT,2021-07-23,27.11,21.38,32.08,-4.97,False,,,
AT,2021-07-24,29.49,23.51,32.23,-2.74,False,,,
AT,2021-07-25,28.26,23.07,32.23,-3.97,False,,,
AT,2021-07-26,28.61,23.41,32.08,-3.47,False,,,
AT,2021-07-27,28.43,23.71,32.08,-3.65,False,,,
AT,2021-07-28,29.99,23.6,32.12,-2.13,False,,,
AT,2021-07-29,27.06,22.88,32.07,-5.01,False,,,
AT,2021-07-30,29.77,23.8,32.05,-2.28,False,,,
AT,2021-07-31,26.3,22.84,31.75,-5.45,False,,,
AT,2021-08-01,25.7,19.2,31.75,-6.05,False,,,
AT,2021-08-02,23.28,18.9,32.06,-8.78,False,,,
AT,2021-08-03,24.5,19.92,32.12,-7.62,False,,,
AT,2021-08-04,22.54,18.84,32.22,-9.68,False,,,
AT,2021-08-05,18.66,17.02,32.36,-13.7,False,,,
AT,2021-08-06,22.79,18.77,32.65,-9.86,False,,,
AT,2021-08-07,28.0,21.84,33.05,-5.05,False,,,
AT,2021-08-08,22.23,19.62,33.19,-10.96,False,,,
AT,2021-08-09,24.64,20.06,33.05,-8.41,False,,,
AT,2021-08-10,28.52,22.74,33.05,-4.53,False,,,
AT,2021-08-11,26.7,22.46,33.05,-6.35,False,,,
AT,2021-08-12,27.88,22.61,33.05,-5.17,False,,,
AT,2021-08-13,29.45,23.75,32.99,-3.54,False,,,
AT,2021-08-14,31.11,26.18,32.99,-1.88,True,AT-2021-08-14,1,3
AT,2021-08-15,32.28,25.67,32.99,-0.71,True,AT-2021-08-14,2,3
AT,2021-08-16,30.41,22.64,32.63,-2.22,True,AT-2021-08-14,3,3
AT,2021-08-17,20.41,16.77,32.29,-11.88,False,,,
AT,2021-08-18,19.82,16.73,32.27,-12.45,False,,,
AT,2021-08-19,23.47,18.96,32.22,-8.75,False,,,
AT,2021-08-20,24.16,19.69,31.87,-7.71,False,,,
AT,2021-08-21,25.48,20.82,31.78,-6.3,False,,,
AT,2021-08-22,26.36,21.1,31.69,-5.33,False,,,
AT,2021-08-23,21.62,18.14,31.38,-9.76,False,,,
AT,2021-08-24,20.64,16.69,31.39,-10.75,False,,,
AT,2021-08-25,19.6,15.28,31.39,-11.79,False,,,
AT,2021-08-26,18.73,15.16,31.21,-12.48,False,,,
AT,2021-08-27,17.93,14.54,31.21,-13.28,False,,,
AT,2021-08-28,18.18,14.42,31.19,-13.01,False,,,
AT,2021-08-29,18.67,14.68,31.13,-12.46,False,,,
AT,2021-08-30,18.81,15.24,30.76,-11.95,False,,,
AT,2021-08-31,19.25,16.02,30.55,-11.3,False,,,
AT,2021-09-01,20.36,16.69,30.28,-9.92,False,,,
AT,2021-09-02,21.71,16.83,30.17,-8.46,False,,,
AT,2021-09-03,22.27,17.59,30.04,-7.77,False,,,
AT,2021-09-04,23.46,17.32,29.76,-6.3,False,,,
AT,2021-09-05,23.07,17.29,29.35,-6.28,False,,,
AT,2021-09-06,22.52,16.92,29.14,-6.62,False,,,
AT,2021-09-07,21.85,16.78,28.6,-6.75,False,,,
AT,2021-09-08,24.04,17.81,27.84,-3.8,False,,,
AT,2021-09-09,24.93,19.01,27.63,-2.7,False,,,
AT,2021-09-10,25.3,18.2,27.63,-2.33,False,,,
AT,2021-09-11,25.19,18.96,27.31,-2.12,False,,,
AT,2021-09-12,25.0,19.5,27.12,-2.12,False,,,
AT,2021-09-13,25.54,20.28,27.12,-1.58,False,,,
AT,2021-09-14,25.84,19.65,27.31,-1.47,False,,,
AT,2021-09-15,26.57,21.07,27.31,-0.74,False,,,
AT,2021-09-16,25.73,21.05,27.22,-1.49,False,,,
AT,2021-09-17,20.05,17.04,27.06,-7.01,False,,,
AT,2021-09-18,19.88,15.37,27.03,-7.15,False,,,
AT,2021-09-19,17.84,14.34,26.86,-9.02,False,,,
AT,2021-09-20,14.77,12.07,26.51,-11.74,False,,,
AT,2021-09-21,15.3,12.53,25.97,-10.67,False,,,
AT,2021-09-22,15.95,12.54,25.94,-9.99,False,,,
AT,2021-09-23,21.03,14.94,25.85,-4.82,False,,,
AT,2021-09-24,21.03,16.88,25.25,-4.22,False,,,
AT,2021-09-25,24.81,17.82,25.16,-0.35,False,,,
AT,2021-09-26,22.35,16.22,24.84,-2.49,False,,,
AT,2021-09-27,18.14,16.06,24.64,-6.5,False,,,
AT,2021-09-28,22.05,17.49,23.45,-1.4,False,,,
AT,2021-09-29,19.44,15.07,22.92,-3.48,False,,,
AT,2021-09-30,17.06,13.31,22.86,-5.8,False,,,
AT,2021-10-01,18.73,13.06,22.86,-4.13,False,,,
AT,2021-10-02,18.8,14.21,22.64,-3.84,False,,,
AT,2021-10-03,22.99,16.19,22.47,0.52,True,,,
AT,2021-10-04,22.22,16.38,22.45,-0.23,False,,,
AT,2021-10-05,22.91,17.92,22.3,0.61,True,,,
AT,2021-10-06,15.52,13.15,22.27,-6.75,False,,,
AT,2021-10-07,13.4,11.51,22.14,-8.74,False,,,
AT,2021-10-08,15.12,11.49,21.95,-6.83,False,,,
AT,2021-10-09,12.96,8.69,21.68,-8.72,False,,,
AT,2021-10-10,10.3,7.25,21.56,-11.26,False,,,
AT,2021-10-11,14.94,10.13,21.01,-6.07,False,,,
AT,2021-10-12,12.46,9.44,20.88,-8.42,False,,,
AT,2021-10-13,10.57,7.5,20.82,-10.25,False,,,
AT,2021-10-14,11.46,7.84,20.8,-9.34,False,,,
AT,2021-10-15,15.24,10.24,20.77,-5.53,False,,,
AT,2021-10-16,13.57,9.83,20.73,-7.16,False,,,
AT,2021-10-17,13.59,7.68,20.62,-7.03,False,,,
AT,2021-10-18,13.52,8.97,20.59,-7.07,False,,,
AT,2021-10-19,14.97,9.65,20.22,-5.25,False,,,
AT,2021-10-20,18.45,12.84,19.75,-1.3,False,,,
AT,2021-10-21,17.9,12.7,19.5,-1.6,False,,,
AT,2021-10-22,13.67,10.44,19.28,-5.61,False,,,
AT,2021-10-23,11.69,8.3,19.17,-7.48,False,,,
AT,2021-10-24,11.9,6.85,18.67,-6.77,False,,,
AT,2021-10-25,12.21,7.64,18.46,-6.25,False,,,
AT,2021-10-26,12.02,6.67,18.27,-6.25,False,,,
AT,2021-10-27,14.64,8.65,18.24,-3.6,False,,,
AT,2021-10-28,12.85,7.48,18.01,-5.16,False,,,
AT,2021-10-29,13.39,8.38,17.77,-4.38,False,,,
AT,2021-10-30,12.42,8.02,17.68,-5.26,False,,,
AT,2021-10-31,12.84,8.44,17.62,-4.78,False,,,
AT,2021-11-01,14.74,9.5,17.61,-2.87,False,,,
AT,2021-11-02,10.17,7.65,17.44,-7.27,False,,,
AT,2021-11-03,12.17,8.03,17.23,-5.06,False,,,
AT,2021-11-04,12.42,9.37,17.01,-4.59,False,,,
AT,2021-11-05,11.24,7.0,16.95,-5.71,False,,,
AT,2021-11-06,10.94,5.95,16.91,-5.97,False,,,
AT,2021-11-07,11.68,6.97,16.57,-4.89,False,,,
AT,2021-11-08,10.23,7.34,16.43,-6.2,False,,,
AT,2021-11-09,10.92,6.24,15.74,-4.82,False,,,
AT,2021-11-10,10.01,6.45,15.29,-5.28,False,,,
AT,2021-11-11,7.73,5.53,15.18,-7.45,False,,,
AT,2021-11-12,7.62,5.45,15.06,-7.44,False,,,
AT,2021-11-13,6.19,4.23,14.98,-8.79,False,,,
AT,2021-11-14,6.42,4.76,14.45,-8.03,False,,,
AT,2021-11-15,9.13,5.62,14.17,-5.04,False,,,
AT,2021-11-16,9.72,6.57,14.06,-4.34,False,,,
AT,2021-11-17,8.01,5.71,13.85,-5.84,False,,,
AT,2021-11-18,9.41,6.6,13.24,-3.83,False,,,
AT,2021-11-19,11.34,8.43,12.88,-1.54,False,,,
AT,2021-11-20,11.61,7.56,12.65,-1.04,False,,,
AT,2021-11-21,7.92,3.99,12.56,-4.64,False,,,
AT,2021-11-22,7.0,5.44,12.25,-5.25,False,,,
AT,2021-11-23,5.67,2.72,11.62,-5.95,False,,,
AT,2021-11-24,5.83,0.65,11.35,-5.52,False,,,
AT,2021-11-25,4.88,1.02,10.91,-6.03,False,,,
AT,2021-11-26,1.15,0.58,10.34,-9.19,False,,,
AT,2021-11-27,2.09,-0.31,9.96,-7.87,False,,,
AT,2021-11-28,1.99,0.33,9.47,-7.48,False,,,
AT,2021-11-29,2.74,0.14,9.23,-6.49,False,,,
AT,2021-11-30,4.3,2.01,9.2,-4.9,False,,,
AT,2021-12-01,8.1,5.69,9.2,-1.1,False,,,
AT,2021-12-02,7.63,5.42,9.01,-1.38,False,,,
AT,2021-12-03,3.86,1.06,8.98,-5.12,False,,,
AT,2021-12-04,2.29,-0.26,8.98,-6.69,False,,,
AT,2021-12-05,4.64,2.22,9.06,-4.42,False,,,
AT,2021-12-06,3.93,1.2,9.07,-5.14,False,,,
AT,2021-12-07,3.23,0.09,9.06,-5.83,False,,,
AT,2021-12-08,3.1,0.17,9.01,-5.91,False,,,
AT,2021-12-09,0.99,-0.21,9.01,-8.02,False,,,
